review_id,user_name,text,rating,review_date,appVersion
18d6584c-d0e9-4833-a744-f607058aee97,Milky Way,"Suddenly, the driver can't have my location and all calling to ask where I am and where I am going. It's really annoying.",1.0,10-08-2023 17:48,
50a08f18-cece-4ddf-b617-028844c8aa28,Bradlee Severa,Very cordial.. And helped with a quick turnaround ride. Well done,5.0,10-08-2023 17:38,4.485.10000
b0d8e75a-80a7-4dcd-abaf-72b046dbeeb7,Amit Aggarwal,Very good experience,5.0,10-08-2023 17:38,4.486.10002
502702a9-25ed-4373-a96c-7fa1f06caacd,Bryant Inman,All I use,5.0,10-08-2023 17:37,4.467.10008
f47a3fb6-23db-49bd-9e63-f33c8d724d07,Addie Whittaker,I have enjoyed traveling by Uber my drivers have been polite and very good conversationalist. Every vehicle has been clean and smelled fresh,5.0,10-08-2023 17:36,4.486.10002
2d096fac-bb98-47d8-989c-0b3a77e56309,Parimala J,App is good but main problem is the drivers cancel the trip customer want to pay penalty. Why customer want to pay penalty?,1.0,10-08-2023 17:35,4.485.10000
a432165e-68bc-493f-b4e3-7c923be7a7a1,Henry Kramer,Great,5.0,10-08-2023 17:34,4.445.10001
f08c267e-4e47-4b4b-9247-195e36caf8c9,Arun Christo,5 star gets automatically,5.0,10-08-2023 17:32,4.485.10000
907a6feb-0087-4bec-ba75-02a502ddde5f,chinedu nwaogu,Awesome,5.0,10-08-2023 17:29,4.485.10000
7fa4058f-12a4-4fad-8aa1-35b3e9698d4d,Norbert Briones,Good service,5.0,10-08-2023 17:26,4.485.10000
9ee056c1-c26b-4e46-82a0-4d3efb35a91c,Annie Bhutiani,Very bad experience no customer service,1.0,10-08-2023 17:25,
39cfa6f4-000f-4b7b-bbaa-4d8498791b82,munibhadrayya ballapalle,Good,5.0,10-08-2023 17:25,4.485.10000
c2366c64-fc6c-4c5b-8f95-64023f6d3427,Sonar Sandip,Good,5.0,10-08-2023 17:24,4.485.10000
950b4f0f-02ec-478c-9004-412d7d1129aa,Katie Ferguson,Great,5.0,10-08-2023 17:20,4.486.10002
472b106a-4b10-4577-b4dc-44197abc5b98,Lashay Russell,Awesome 💯,5.0,10-08-2023 17:17,4.485.10000
4c9f4c77-2026-488e-925a-0e5ed3a086be,Luckshay,"Please add dark mode in app as location interface of map is white at night , which hurt eye. , Please integrate dark mode in app.",1.0,10-08-2023 17:17,4.485.10000
f7f33985-edca-4b1d-a963-2138cb319473,Petey “Calisthenics Gamer” Always,First time using it and a nice driver with a spacious comfortable car. He was a very kind man.,5.0,10-08-2023 17:17,4.486.10002
91eea5eb-80fd-4517-a9d1-52b73338b1b6,safiullakhan safi,"One of the fraudulent app I have ever seen, when I booked the cab, the price was 289 and then when I ended the trip, they have charged me 395 Rs and I do not have an option to speak with any of there customer care, I would suggest don't ever choose Uber, they are big scammers who are actually not stick to there words and just making people fool with the huge amount which they are actually not displaying while booking ride. I would suggest rapido and other apps but never Uber.",1.0,10-08-2023 17:12,4.485.10000
70ab87c2-90ec-4d33-bc8e-d87538e8a2b8,Anurag singh,Very bad experience. This app doesn't give me the option of forget password. It only gives reset account. Even the customer care number isn't available. I never use and recommend to anyone...,1.0,10-08-2023 17:09,
0925d95f-1269-47a2-91e0-281ec8272405,Raphael Futukpor,Helpful,5.0,10-08-2023 17:08,4.485.10000
aecccea4-6783-4fda-8da9-8f51b60358f8,Janice Galley,Always good.,5.0,10-08-2023 17:07,4.485.10000
25fa4685-b69f-46ca-8afe-243a761b9c7f,maria brizuela,Excelente,5.0,10-08-2023 17:06,4.485.10000
b07ea2b6-2b54-478d-9efe-a7bed3cc9228,Me by Me,"Compare to others , uber is good at reasonable prices.",5.0,10-08-2023 17:04,
8f6611a0-ca81-4c6c-a7ac-9f256eef6f7d,jose nava,Always on time and good service,5.0,10-08-2023 17:03,4.450.10001
4a33726d-1c26-435b-bb23-856bd6392159,austin joe,Very good app,5.0,10-08-2023 17:03,
655939ab-5a34-4788-a3f3-9e30ed8807aa,R&R Kona,Love it! 😎🤙🏽,5.0,10-08-2023 16:56,4.479.10001
ed065435-37ff-4bd7-af0e-a8ce07fededb,Bob Findler,"Uber 1st accepts cash deposit into one's account. A problem! AFTERWARDS, requires one to provide official documentation proof you are who you say you are. Very confounding experience. The options being photo ID such as Driver's licence or Passport required. In my case, my Driver's Licence is in process of renewal. Uber declines my expired variant (which is fine to carry as my new replacement is registered as en route for Delivery). Few people have day to day ready access to carried Passports.",4.0,10-08-2023 16:55,4.485.10000
7b9414fc-50cf-41b5-b0f2-61931002d7a1,Alex Bierach,Automatically signed me up for membership when I haven't used the app in months with no button to cancel the membership literally just stealing my money,1.0,10-08-2023 16:54,
